start,video,title,duration,offset,block
00:00:00,https://youtu.be/B5unCXpegAw,8 HOURS of STARSCAPES (4K) Stunning AstroLapse Scenes + Relaxing Music for Deep Sleep & Relaxation,06:00:00,00:00:00,Late Night Starscapes
06:00:00,https://youtu.be/c_WqfwXHaPU,Griffith Observatory Special | Visiting with Huell Howser,00:54:34,00:00:00,Huell Howser Visits the Observatory
06:54:34,https://youtu.be/awQBcKzMRGQ,SKY REPORT | GRIFFITH OBSERVATORY | JUNE 2026,00:05:06,00:00:00,Huell Howser Visits the Observatory
07:00:00,https://youtu.be/UyzBoUvN3PM,What Voyager Detected at the Edge of the Solar System,00:51:03,00:00:00,Voyager
07:51:03,https://youtu.be/PtkqwslbLY8,Jupiter 101 | National Geographic,00:03:17,00:00:00,Voyager
07:54:20,https://youtu.be/epZdZaEQhS0,Saturn 101 | National Geographic,00:04:07,00:00:00,Voyager
08:00:00,https://youtu.be/iZS-bs0ZlEk,YOUR GATEWAY TO THE COSMOS | GRIFFITH OBSERVATORY,00:01:11,00:00:00,Space For Kids
08:01:11,https://youtu.be/00F7pKYGtro,How to Spot Stars and Constellations in the Sky (Nat Geo Kids),00:03:11,00:00:00,Space For Kids
08:04:22,https://youtu.be/q1Y_iPji5AM,The Planets | Solar System Playlist (Nat Geo Kids),00:01:01,00:00:00,Space For Kids
08:05:23,https://youtu.be/ymUSrNAq5dE,A Traveler's Guide to the Planets: Mars (Nat Geo Kids),00:45:41,00:00:00,Space For Kids
08:51:04,https://youtu.be/TLXnBRrUd8A,Mighty Moon | Weird But True Fast Facts (Nat Geo Kids),00:00:46,00:00:00,Space For Kids
08:51:50,https://youtu.be/zjupqmTna8M,A Traveler's Guide to the Planets: Venus and Mercury (Nat Geo Kids),00:45:40,00:00:00,Space For Kids
09:37:30,https://youtu.be/JG3ORGqIrrM,Space Rocks | Weird But True! S1 E1 (Nat Geo Kids),00:22:12,00:00:00,Space For Kids
09:59:42,https://youtu.be/RdTvzR8K0K8,A Traveler's Guide to the Planets: Jupiter (Nat Geo Kids),00:45:58,00:00:00,Space For Kids
10:45:40,https://youtu.be/MqrcuWOKeno,How Hubble Works | Spaced Out (Nat Geo Kids),00:03:36,00:00:00,Space For Kids
10:49:16,https://youtu.be/Yni3hpdZe88,The Milky Way | Spaced Out (Nat Geo Kids),00:02:43,00:00:00,Space For Kids
10:51:59,https://youtu.be/CbTaDOuSePk,Apollo 11: The First Moon Walk (Nat Geo Kids),00:02:46,00:00:00,Space For Kids
10:54:45,https://youtu.be/D9YFPiIAmoA,Planet Venus | Weird But True Fast Facts (Nat Geo Kids),00:00:55,00:00:00,Space For Kids
10:55:40,https://youtu.be/fS0a4pyAHbA,Can You Hear Sound in Space? (Nat Geo Kids),00:00:56,00:00:00,Space For Kids
10:56:36,https://youtu.be/dAjDOBGoMvg,Saturn's Skate Rink | Weird But True Shorts (Nat Geo Kids),00:00:41,00:00:00,Space For Kids
10:57:17,https://youtu.be/-mJGmYM2kBI,Space Art | Spaced Out (Nat Geo Kids),00:02:43,00:00:00,Space For Kids
11:00:00,https://youtu.be/R_y3lB0lNmo,A Traveler's Guide to the Planets: Saturn (Nat Geo Kids),00:46:55,00:00:00,Space For Kids
11:46:55,https://youtu.be/yC7lhscL9qY,Astronauts | Weird But True! S1 E17 (Nat Geo Kids),00:22:14,00:00:00,Space For Kids
12:09:09,https://youtu.be/TNV2qatjr2g,Spaceship Designer: Constance Adams | Best Job Ever (Nat Geo Kids),00:03:36,00:00:00,Space For Kids
12:12:45,https://youtu.be/DHFCLW7aSQs,Munazza Alam: Hunting for Earth-like Planets (Nat Geo Kids),00:03:42,00:00:00,Space For Kids
12:16:27,https://youtu.be/FEnqDEPsBHQ,What is Hubble? | Spaced Out (Nat Geo Kids),00:03:29,00:00:00,Space For Kids
12:19:56,https://youtu.be/bvdHdBnmStk,Shoot for the Stars | Spaced Out (Nat Geo Kids),00:02:58,00:00:00,Space For Kids
12:22:54,https://youtu.be/B6oFPXAV36I,Satellite Sleuth | You Wanna Be a What?! (Nat Geo Kids),00:02:48,00:00:00,Space For Kids
12:25:42,https://youtu.be/XVYaz-D2MYE,Explore the Solar System | Solar System Playlist (Nat Geo Kids),00:01:10,00:00:00,Space For Kids
12:26:52,https://youtu.be/tFrNl2ujKls,A Look at Stars | Solar System Playlist (Nat Geo Kids),00:00:58,00:00:00,Space For Kids
12:27:50,https://youtu.be/nQrKAvJJ6mk,The Earth and the Moon | Solar System Playlist (Nat Geo Kids),00:00:52,00:00:00,Space For Kids
12:28:42,https://youtu.be/k1cce0Izn3c,All About the Solar System | Solar System Playlist (Nat Geo Kids),00:00:51,00:00:00,Space For Kids
12:29:33,https://youtu.be/Mw8igkIdx5M,All About Space Travel | Solar System Playlist (Nat Geo Kids),00:00:43,00:00:00,Space For Kids
12:30:16,https://youtu.be/PcdBQjxZKxE,Planet Earth | Weird But True Fast Facts (Nat Geo Kids),00:00:55,00:00:00,Space For Kids
12:31:11,https://youtu.be/mlxJXR2dzYk,Space Surprise | Weird But True Shorts (Nat Geo Kids),00:00:41,00:00:00,Space For Kids
12:31:52,https://youtu.be/RiM47tacnyA,Space Oddities | Weird But True! (Nat Geo Kids),00:00:33,00:00:00,Space For Kids
12:32:25,https://youtu.be/u8KatF820kA,Outer Space | Just Joking (Nat Geo Kids),00:01:30,00:00:00,Space For Kids
12:33:55,https://youtu.be/mxzyANgHrS0,"The Solar System for Kids | Sun, Moon & Planets (Homeschool Pop)",00:43:26,00:00:00,Space For Kids
13:17:21,https://youtu.be/QAGGntBUYFM,Journey to Mars! | SciShow Kids Compilation,00:21:52,00:00:00,Space For Kids
13:39:13,https://youtu.be/cNOGE4_x3X0,Black Holes for Children | Space for Kids (FreeSchool),00:07:01,00:00:00,Space For Kids
13:46:14,https://youtu.be/VkW54j82e9U,All About the Sun for Kids (FreeSchool),00:04:57,00:00:00,Space For Kids
13:51:11,https://youtu.be/PeNuj2GH8xg,All About Stars for Kids (FreeSchool),00:05:45,00:00:00,Space For Kids
13:56:56,https://youtu.be/KQyJOG9MMX8,Why Isn't Pluto a Planet Anymore? (FreeSchool),00:02:44,00:00:00,Space For Kids
14:00:00,https://youtu.be/iZS-bs0ZlEk,YOUR GATEWAY TO THE COSMOS | GRIFFITH OBSERVATORY,00:01:11,00:00:00,Eyes on the Sky
14:01:11,https://youtu.be/QPVcG8TZ8Wg,The FIRST images from the RUBIN observatory!,00:19:39,00:00:00,Eyes on the Sky
14:20:50,https://youtu.be/N1AY3iCYkGs,The Telescope Images Scientists Have Been Waiting 12 Years For | Euclid,00:18:37,00:00:00,Eyes on the Sky
14:39:27,https://youtu.be/6EbuAEagQj4,The Deepest We Have Ever Seen Into the Sun | SDO 4K,00:18:58,00:00:00,Eyes on the Sky
15:00:02,https://youtu.be/iZS-bs0ZlEk,YOUR GATEWAY TO THE COSMOS | GRIFFITH OBSERVATORY,00:01:11,00:00:00,Our Solar System
15:01:13,https://youtu.be/libKVRa01L8,Solar System 101 | National Geographic,00:04:11,00:00:00,Our Solar System
15:05:24,https://youtu.be/2HoTK_Gqi2Q,Sun 101 | National Geographic,00:05:01,00:00:00,Our Solar System
15:10:25,https://youtu.be/B588JHKSlEE,What They Didn't Teach You at School about Planet Mercury | NASA's MESSENGER Discoveries,00:49:11,00:00:00,Our Solar System
15:59:36,https://youtu.be/djP-IdHFQWU,What They Didn't Teach You in School about Venus | Our Solar System's Planets,00:14:56,00:00:00,Our Solar System
16:14:32,https://youtu.be/mrYjJ9Jl9dA,What They Didn't Teach You in School About Earth | Our Solar System's Planets,00:19:19,00:00:00,Our Solar System
16:33:51,https://youtu.be/6AviDjR9mmo,Moon 101 | National Geographic,00:03:06,00:00:00,Our Solar System
16:36:57,https://youtu.be/wFTGP7-n3J8,What They Didn't Teach You in School About Mars | Our Solar System's Planets 4K,00:18:32,00:00:00,Our Solar System
16:55:29,https://youtu.be/JRHwq1DIgbI,What They Didn't Teach You in School About Jupiter | Our Solar System's Planets,00:14:42,00:00:00,Our Solar System
17:10:11,https://youtu.be/7F_A4gMxsfE,The Unique Characteristics of Planet Saturn | Our Solar System's Planets,00:15:59,00:00:00,Our Solar System
17:26:10,https://youtu.be/tCmC0XOKO5Q,The Bizarre Characteristics Of Uranus | Our Solar System's Planets,00:13:39,00:00:00,Our Solar System
17:39:49,https://youtu.be/DhLm_4pBrso,What They Didn't Teach You in School about Neptune | Our Solar System's Planets,00:16:01,00:00:00,Our Solar System
17:55:50,https://youtu.be/-iZio70bd-M,Pluto 101 | National Geographic,00:04:10,00:00:00,Our Solar System
18:00:00,https://youtu.be/DcsYDNUKsX4,ALL SPACE CONSIDERED | MAY 2026 | GRIFFITH OBSERVATORY,00:59:45,00:07:00,All Space Considered
19:00:00,https://youtu.be/iZS-bs0ZlEk,YOUR GATEWAY TO THE COSMOS | GRIFFITH OBSERVATORY,00:01:11,00:00:00,Next Gen Rockets
19:01:11,https://youtu.be/ANe_HW4X8oc,Starship - Test Like You Fly,00:24:54,00:00:00,Next Gen Rockets
19:26:05,https://youtu.be/orzOG0KoCwE,NASA is Launching a Nuclear Rocket to Mars,00:15:01,00:00:00,Next Gen Rockets
19:41:06,https://youtu.be/4K8zt8NzlVo,This Engine Will Reinvent Space Travel,00:15:44,00:00:00,Next Gen Rockets
19:56:50,https://youtu.be/aBJNtvAyt9g,Testing the Next Generation of Mars Helicopter Rotor Blades,00:01:03,00:00:00,Next Gen Rockets
19:57:53,https://youtu.be/TYasUWRkv4E,NASA’s SkyFall Mars Helicopters,00:01:01,00:00:00,Next Gen Rockets
19:58:54,https://youtu.be/JsK-ff2Mycg,"Introducing MoonFall, NASA’s Lunar Drone Mission",00:01:03,00:00:00,Next Gen Rockets
20:00:00,https://youtu.be/iZS-bs0ZlEk,YOUR GATEWAY TO THE COSMOS | GRIFFITH OBSERVATORY,00:01:11,00:00:00,Mind-Bending Space
20:01:11,https://youtu.be/vvCVWu-brrY,Sagittarius A*: The Invisible Giant We Are All Orbiting,00:28:13,00:00:00,Mind-Bending Space
20:29:24,https://youtu.be/et181HMN2EQ,We thought we solved the Fermi Bubbles… then this happened,00:16:31,00:00:00,Mind-Bending Space
20:45:55,https://youtu.be/3ZF8Bq1ToBU,Everyone Was Wrong About 3I Atlas,00:11:58,00:00:00,Mind-Bending Space
20:57:53,https://youtu.be/ZLP1Voyf8aE,The Edge Of The Universe Is Insane,00:15:00,00:00:00,Mind-Bending Space
21:12:53,https://youtu.be/pRnV2_kUtHc,This Will Change Your View of Space Forever,00:14:16,00:00:00,Mind-Bending Space
21:27:09,https://youtu.be/6ExxSM7CLGc,What Does It Mean?,00:32:42,00:00:00,Mind-Bending Space
22:00:00,https://youtu.be/iZS-bs0ZlEk,YOUR GATEWAY TO THE COSMOS | GRIFFITH OBSERVATORY,00:01:11,00:00:00,The Moon
22:01:11,https://youtu.be/6AviDjR9mmo,Moon 101 | National Geographic,00:03:06,00:00:00,The Moon
22:04:17,https://youtu.be/Hf6sGjQSHsA,FIVE Moon mysteries Artemis can't help us solve,00:19:21,00:00:00,The Moon
22:23:38,https://youtu.be/b4XZByg0Soo,"MAJOR STANDSTILL NORTHERN MOONRISE | NOVEMBER 7, 2025 | GRIFFITH OBSERVATORY",00:35:05,00:00:00,The Moon
23:00:00,https://youtu.be/B5unCXpegAw,8 HOURS of STARSCAPES (4K) Stunning AstroLapse Scenes + Relaxing Music for Deep Sleep & Relaxation,01:00:00,00:00:00,Late Night Starscapes
